query,stakeholders,roles,topics,concepts,rounds,time (ms)
tiramisu,3,0,1,10,30,448
tiramisu,3,0,2,10,3000,924000
mongolian,3,0,2,10,100,555
tiramisu,3,0,3,50,1,786
mongolian,3,0,2,3,30,110
tiramisu,3,0,3,3,30,100
tiramisu,3,0,3,10,100,1247
tiramisu,3,0,3,50,3000,5807
mongolian,3,0,3,10,10000,52839
mongolian,3,0,1,3,30,9385
tiramisu,3,0,3,50,1,1568
tiramisu,3,0,3,10,30,310
mongolian,3,0,3,10,30,532
mongolian,3,0,2,1,3000,12263
mongolian,3,0,1,1,300,240
tiramisu,3,0,2,50,1,4254
mongolian,3,0,3,10,3000,15795
tiramisu,3,0,3,10,30,31295
tiramisu,3,0,2,50,1,1460
mongolian,3,0,3,1,300,1512
mongolian,3,0,3,1,3000,2210
tiramisu,3,0,3,10,10000,29853
mongolian,3,0,1,1,30,56
mongolian,3,0,3,1,10000,14393
mongolian,3,0,3,50,3000,5797
mongolian,3,0,1,50,3000,5081
mongolian,3,0,3,3,100,727
tiramisu,3,0,1,10,10000,32266
tiramisu,3,0,1,3,300,209
mongolian,3,0,2,10,10000,123607
mongolian,3,0,1,50,300,8272
tiramisu,3,0,1,1,300,120
mongolian,3,0,3,1,10000,54578
mongolian,3,0,2,1,10000,339145
tiramisu,3,0,1,50,1,1609
tiramisu,3,0,1,50,100,1591
mongolian,3,0,3,10,100,548
mongolian,3,0,3,1,100,68
tiramisu,3,0,2,1,100,43
tiramisu,3,0,2,50,1,4505
tiramisu,3,0,1,50,30,1543
tiramisu,3,0,3,50,1,4594
mongolian,3,0,1,3,1,464
tiramisu,3,0,1,1,30,73
tiramisu,3,0,3,1,300,375
mongolian,3,0,3,1,100,3404
mongolian,3,0,3,10,30,282
mongolian,3,0,2,3,300,405
mongolian,3,0,2,3,100,95
mongolian,3,0,3,50,300,13800
tiramisu,3,0,3,1,300,370
tiramisu,3,0,3,10,100,30097
mongolian,3,0,3,50,3000,84327
tiramisu,3,0,2,1,10000,336340
mongolian,3,0,3,3,1,168
mongolian,3,0,2,3,10000,58605
tiramisu,3,0,2,1,100,53
tiramisu,3,0,1,3,300,212
mongolian,3,0,3,10,1,1301
tiramisu,3,0,2,3,100,109
tiramisu,3,0,2,3,100,9253
tiramisu,3,0,2,50,30,149070
mongolian,3,0,2,3,1,168
mongolian,3,0,2,50,30,752
tiramisu,3,0,1,50,30,148716
mongolian,3,0,1,3,300,207
mongolian,3,0,1,10,3000,20563
tiramisu,3,0,1,10,1,203
tiramisu,3,0,1,50,100,1626
mongolian,3,0,3,1,10000,14958
mongolian,3,0,3,1,300,399
mongolian,3,0,3,10,10000,13885
tiramisu,3,0,2,3,100,104
mongolian,3,0,3,10,3000,41576
tiramisu,3,0,2,10,300,1073
mongolian,3,0,3,3,10000,17414
mongolian,3,0,3,50,30,2834
mongolian,3,0,1,3,1,111
tiramisu,3,0,1,3,1,9535
tiramisu,3,0,2,3,100,113
mongolian,3,0,2,1,300,10357
tiramisu,3,0,1,3,1,99
mongolian,3,0,2,1,30,69
mongolian,3,0,1,10,3000,18038
mongolian,3,0,1,3,10000,17054
mongolian,3,0,2,3,30,199
tiramisu,3,0,2,50,100,4519
tiramisu,3,0,3,50,30,1586
tiramisu,3,0,1,3,1,115
tiramisu,3,0,2,3,300,312
tiramisu,3,0,3,10,3000,9723
tiramisu,3,0,3,3,1,119
mongolian,3,0,2,50,100,4677
tiramisu,3,0,1,1,3000,97781
tiramisu,3,0,1,10,10000,34579
mongolian,3,0,2,3,30,206
mongolian,3,0,2,3,10000,10292
mongolian,3,0,3,50,1,2847
tiramisu,3,0,3,3,1,123
tiramisu,3,0,2,50,3000,140072
tiramisu,3,0,1,1,10000,7192
mongolian,3,0,1,50,100,155976
mongolian,3,0,3,3,300,29487
tiramisu,3,0,1,3,30,99
tiramisu,3,0,2,10,100,31292
mongolian,3,0,1,3,30,210
